Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
GTEX-11DXX-2326-SM-5Q5A2	0.000785581720162049	0	0.00263506940344323	0.00527213021966867	0	0.144472082945475	0	0.000991049888339862	0.00761496969031528	0	0.063458451897345	0.00118900019536121	0.178327951445329	0	0.00878519753430154	0.40815557579365	0	0	0.170424842176252	0	0	0.00788809709035619	0.038	0.175547406170093	1.01795417765305	1.6595
GTEX-11DZ1-0226-SM-5A5KF	0	0	0	0.0965608772485985	0	0.0661402986930869	0	0	0	0	0.0338123398711584	0.0218095049649438	0.150274641535454	0	0.0172425339049202	0.341633319039026	0	0	0.266064792140691	0	0	0.00646169260212086	0.038	0.175483367328903	1.01832777865252	2.7685
GTEX-11EI6-0226-SM-5EQ64	0.00943490572392329	0	0	0.0841226622870621	0	0.108789520607439	0	0.0285757094786908	0	0	0.0733606241882894	0	0.118101493384994	0	0.0314090360646692	0.34883931987002	0	0	0.197366728394913	0	0	0	0.034	0.184075101970723	1.00844345627671	3.079
GTEX-11EM3-2326-SM-5H12B	0.049868331660591	0	0	0	0	0.160071939106194	0	0	0	0	0.0644751035155042	0	0.168612356831677	0	0.0206023839837332	0.419183628267362	0	0	0.0871110908918357	0	0	0.0300751657431026	0.418	0.0269839325586847	1.07777439989085	0.7115
GTEX-11EMC-2826-SM-5PNY6	0	0	0.00487087043918131	0.0182464312448815	0	0.0377933052530468	0	0.0739233449343238	0.0137972640014308	0	0.065096597377395	0	0.213497685016477	0.00515225035533616	0.00604536725345393	0.434653496962305	0	0	0.126923387162169	0	0	0	0.054	0.149148717194319	1.03259797650387	1.9025
GTEX-11EQ8-0226-SM-5EQ5G	0.000632045639745793	0	0.00517114271235007	0.0151223647290111	0	0.0992715253301474	0	0.0197806006478841	0.00623528588365333	0	0.0307007059706578	0.0604087050643907	0.0763627012501948	0.201358612008221	0.0249658315582509	0.239384921472174	0.0058267504411894	0	0.21477880729213	0	0	0	0.028	0.195246164268932	1.0106200535339	3.527
GTEX-11EQ9-2526-SM-5HL66	0	0	0.000844433226606104	0.0502732240066457	0	0.158904224721064	0	0.00812394276136658	0.00239216827082164	0	0.0995563107923509	0.00830494192763574	0.10609778373952	0.0115223473712256	0.00271755412630591	0.430651676606972	0	0	0.120611392449485	0	0	0	0.095	0.115679303229804	1.0424685400654	1.553
GTEX-11GS4-2626-SM-5A5LD	0.0561591913495381	0	0	0.0940091922242331	0	0.18465690392666	0	0.00460179455797185	0	0	0.00968708994578143	0.0172460304203254	0.0436249543136435	0	0.0496619680691151	0.394024895593119	0	0	0.146175334930618	0	0	0.000152644668993958	0.039	0.170067352167636	1.01409958425151	3.0375
GTEX-11GSO-2326-SM-5A5LX	0.0202363624458699	0	0	0.0643720266886359	0	0.120559323329637	0	0.0192168961153798	0.0110326132227094	0	0.00591331749914172	0.0233580719339306	0.0860911280691278	0.296533028501929	0.0301428008299262	0.185834197207631	0.00456559536003672	0	0.132144638796046	0	0	0	0.014	0.252303213958521	0.987984938900287	3.1265
GTEX-11H98-0226-SM-5NQ89	0	0	0	0	0	0.0974982505348452	0	0.00370796627114811	0	0	0.0199917992379556	0.00558955944437851	0.150115872079226	0	0.00476701042451614	0.602014937443152	0	0	0.104859781075361	0	0	0.0114548234894178	0.026	0.202836951637561	1.02637480286048	1.796
