SMTSD	MacrophageSum.CIB_Abs
Prostate	0.119899403884111
Testis	0.193989237458598
Breast - Mammary Tissue	0.47141166037351
Esophagus - Muscularis	0.233849566546681
Esophagus - Gastroesophageal Junction	0.210919241739777
Adipose - Subcutaneous	0.662803008171561
Muscle - Skeletal	0.0492794416663541
Skin - Sun Exposed (Lower leg)	0.145472536455731
Pituitary	1.27496895856707
Whole Blood	0.00846120471697176
Brain - Hippocampus	0.0565659970294632
Brain - Hypothalamus	0.0951641854641995
Brain - Spinal cord (cervical c-1)	0.138710279416158
Heart - Left Ventricle	0.08220866975633
Pancreas	0.0534982782531985
Artery - Aorta	1.052019519307
Heart - Atrial Appendage	0.140706773162853
Artery - Coronary	0.69550997832897
Esophagus - Muscularis	0.185307677161596
Esophagus - Mucosa	0.140081358268221
Colon - Sigmoid	0.486334011435165
Colon - Transverse	0.15591133035103
Breast - Mammary Tissue	2.380634188123
Testis	0.155566677007263
Nerve - Tibial	0.915881848466857
Muscle - Skeletal	0.143641896699436
Adipose - Subcutaneous	1.4800927870496
Artery - Tibial	0.864825051176297
Pituitary	0.453551918421699
Brain - Cortex	0.140466340462803
Brain - Cerebellum	0.0412843921759874
Whole Blood	0.155098634159378
Adrenal Gland	0.418315697140931
Thyroid	0.568295136274954
Lung	1.39310585778866
Spleen	0.851237858245357
Pancreas	0.124662478966635
Prostate	0.191387298449543
Breast - Mammary Tissue	0.740842839820135
Adipose - Visceral (Omentum)	0.914122380929405
Testis	0.577722915528499
Skin - Not Sun Exposed (Suprapubic)	0.261147223989908
Esophagus - Muscularis	0.186162937995902
Esophagus - Mucosa	0.0631805147362736
Esophagus - Gastroesophageal Junction	0.0802255746505365
Colon - Transverse	0.608818868076211
Small Intestine - Terminal Ileum	0.632649190628318
Stomach	0.302855488380071
Colon - Sigmoid	0.270210065871797
Muscle - Skeletal	0.0472624583511777
Adipose - Subcutaneous	0.322387813214498
Skin - Sun Exposed (Lower leg)	0.200142234662898
Nerve - Tibial	0.508438116938128
Artery - Tibial	0.50330805876658
Whole Blood	0.00222320201084226
Thyroid	0.588465512409027
Lung	1.60272481182828
Artery - Aorta	0.6129535051793
Heart - Atrial Appendage	0.314937579984675
Adipose - Visceral (Omentum)	1.48181328775196
Esophagus - Mucosa	0.124342444231924
Esophagus - Muscularis	0.15376582503085
Esophagus - Gastroesophageal Junction	0.227276532141145
Colon - Transverse	0.476925506914857
Spleen	0.637308444971212
Colon - Sigmoid	0.389689291210793
Ovary	0.447553246666496
Uterus	0.294910368432096
Breast - Mammary Tissue	0.748816009265542
Minor Salivary Gland	0.72806300337919
Vagina	0.199253726425387
Skin - Not Sun Exposed (Suprapubic)	0.149355226925451
Skin - Sun Exposed (Lower leg)	0.311811278538039
Adipose - Subcutaneous	1.04856836926529
Muscle - Skeletal	0.042018077736269
Nerve - Tibial	0.528776793536929
Artery - Tibial	0.163612072166193
Whole Blood	0.126740110700732
Artery - Aorta	0.283370889405478
Thyroid	0.25916143726361
Adipose - Visceral (Omentum)	0.116895489736868
Esophagus - Gastroesophageal Junction	0.0448060466570383
Esophagus - Mucosa	0.129407776098269
Esophagus - Muscularis	0.431525352266526
Stomach	0.26974465175089
Small Intestine - Terminal Ileum	0.826467971066319
Minor Salivary Gland	0.429935317105318
Colon - Transverse	0.611214241971845
Prostate	0.316820087230947
Breast - Mammary Tissue	0.14925589615291
Skin - Not Sun Exposed (Suprapubic)	0.103994870243904
Testis	0.139136354983594
Skin - Sun Exposed (Lower leg)	0.299552545541127
Adipose - Subcutaneous	0.348783500170462
Muscle - Skeletal	0.0309953718062713
Nerve - Tibial	0.572067805689666
Whole Blood	0.0175448663926346
Brain - Substantia nigra	0.141889297342528
Nerve - Tibial	0.814576159081612
Muscle - Skeletal	0.0601244627907876
Adipose - Subcutaneous	2.21165007586417
Skin - Not Sun Exposed (Suprapubic)	0.0914969352918914
Breast - Mammary Tissue	0.604743545413731
Lung	1.27823239407576
Adipose - Visceral (Omentum)	2.0500135710773
Colon - Sigmoid	0.568059459026848
Brain - Cerebellum	0.0283408282167394
Brain - Cortex	0.0678665651205541
Whole Blood	0.286735033372366
Adrenal Gland	0.100871991272681
Pancreas	0.112625881963076
Esophagus - Muscularis	0.148408472631787
Esophagus - Mucosa	0.41359462775976
Esophagus - Gastroesophageal Junction	0.192200334443733
Stomach	0.0810198317683303
Colon - Sigmoid	0.15337027452971
Colon - Transverse	0.489351072342753
Thyroid	0.30234625600297
Artery - Aorta	0.299443751484149
Heart - Left Ventricle	0.0502440934909114
Heart - Atrial Appendage	0.173636795862736
Artery - Coronary	0.116080876331108
Lung	1.70373373525082
Liver	0.0748758144557265
